########

## 	Model: GORU with N=128 FFT

########

1000	1.928165
2000	1.733487
3000	1.668400
4188	1.614432
5188	1.566964
6188	1.546837
7376	1.524072
8376	1.508810
9376	1.490318
10564	1.470130
11564	1.462102
12564	1.448789
13752	1.435978
14752	1.430473
15752	1.422350
16940	1.410214
17940	1.397987
18940	1.401995
20128	1.391025
21128	1.379375
22128	1.381015
23316	1.374079
24316	1.365876
25316	1.366276
26504	1.359628
27504	1.353237
28504	1.354727
29692	1.348728
30692	1.342124
31692	1.344335
32880	1.338303
33880	1.333340
34880	1.335580
36068	1.330526
37068	1.325978
38068	1.327964
39256	1.323773
40256	1.319533
41256	1.322538
42444	1.318401
43444	1.314230
44444	1.317339
45632	1.313487
46632	1.309754
47632	1.312248
48820	1.308910
49820	1.305524
50820	1.307827
52008	1.304308
53008	1.301682
54008	1.304016
55196	1.301445
56196	1.298534
57196	1.300476
58384	1.298078
59384	1.295630
60384	1.297648
61572	1.295256
62572	1.293083
63572	1.295400
Test result: 63760	1.259493
