########

## 	Model: GRRU with N=64

########

1000	1.965895
2000	1.787047
3000	1.702652
4188	1.638621
5188	1.607834
6188	1.578976
7376	1.552226
8376	1.542008
9376	1.528305
10564	1.508274
11564	1.503702
12564	1.495704
13752	1.481412
14752	1.478180
15752	1.474410
16940	1.463320
17940	1.458285
18940	1.458129
20128	1.447217
21128	1.446262
22128	1.444133
23316	1.436155
24316	1.436777
25316	1.433517
26504	1.425332
27504	1.428114
28504	1.425772
29692	1.418291
30692	1.417885
31692	1.419855
32880	1.412033
33880	1.411020
34880	1.414399
36068	1.408345
37068	1.407335
38068	1.411495
39256	1.402524
40256	1.401774
41256	1.405857
42444	1.399931
43444	1.397790
44444	1.400986
45632	1.396191
46632	1.394971
47632	1.397714
48820	1.396326
49820	1.391560
50820	1.395985
52008	1.394526
53008	1.388181
54008	1.391168
55196	1.390619
56196	1.386356
57196	1.388078
58384	1.386103
59384	1.384287
60384	1.385119
61572	1.385113
62572	1.383970
63572	1.384703
Test result: 63760	1.352334
