########

## 	Model: GRRU with N=64

########

1000	1.949628
2000	1.784971
3000	1.686351
4188	1.625893
5188	1.609002
6188	1.567119
7376	1.543027
8376	1.539052
9376	1.514667
10564	1.498150
11564	1.497838
12564	1.483374
13752	1.472916
14752	1.472054
15752	1.463372
16940	1.457114
17940	1.453032
18940	1.449014
20128	1.445656
21128	1.436327
22128	1.433953
23316	1.432571
24316	1.425354
25316	1.423498
26504	1.421963
27504	1.418700
28504	1.416652
29692	1.414609
30692	1.413560
31692	1.412738
32880	1.409791
33880	1.411801
34880	1.408761
36068	1.401491
37068	1.404961
38068	1.405363
39256	1.397235
40256	1.398570
41256	1.401183
42444	1.392914
43444	1.397267
44444	1.393836
45632	1.389821
46632	1.393410
47632	1.388583
48820	1.387309
49820	1.389541
50820	1.385145
52008	1.384084
53008	1.385041
54008	1.383699
55196	1.380234
56196	1.384402
57196	1.380742
58384	1.377238
59384	1.382986
60384	1.381110
61572	1.375426
62572	1.378169
63572	1.380285
Test result: 63760	1.344372
