########

## 	Model: LSTM with N=46

########

1000	2.226078
2000	2.047116
3000	1.956673
4188	1.890865
5188	1.853056
6188	1.822735
7376	1.790200
8376	1.769964
9376	1.749213
10564	1.726418
11564	1.712532
12564	1.697094
13752	1.680006
14752	1.668931
15752	1.656956
16940	1.642973
17940	1.633404
18940	1.624095
20128	1.612796
21128	1.605124
22128	1.597922
23316	1.589635
24316	1.583674
25316	1.577697
26504	1.571281
27504	1.566364
28504	1.561292
29692	1.556296
30692	1.552259
31692	1.548099
32880	1.543840
33880	1.540330
34880	1.536843
36068	1.533153
37068	1.530141
38068	1.527205
39256	1.524049
40256	1.521348
41256	1.518979
42444	1.516252
43444	1.513816
44444	1.511862
45632	1.509512
46632	1.507213
47632	1.505666
48820	1.503630
49820	1.501462
50820	1.500113
52008	1.498373
53008	1.496400
54008	1.495111
55196	1.493741
56196	1.491868
57196	1.490733
58384	1.489786
59384	1.487928
60384	1.486960
61572	1.486330
62572	1.484442
63572	1.483597
Test result: 63760	1.450944
